,date,high,low,mean
0,2020,4.01,3.33,3.54
1,2019,5.12,3.69,4.32
2,2018,6.15,4.44,5.07
3,2017,5.95,5.26,5.52
4,2016,7.5,4.96,5.33
5,2015,15.38,6.17,8.16
6,2014,7.77,4.46,5.9
7,2013,9.39,6.65,6.76
8,2012,,,
9,2011,,,
10,2010,,,
