,date,high,low,mean
0,2020,6.92,5.32,5.89
1,2019,11.4,6.39,7.77
2,2018,13.39,7.92,9.58
3,2017,13.85,8.27,10.84
4,2016,28.17,12.97,19.58
5,2015,41.96,11.88,20.46
6,2014,15.15,8.48,11.84
7,2013,11.6,7.68,9.48
8,2012,11.46,6.85,9.2
9,2011,19.85,8.99,13.87
10,2010,22.96,11.02,16.39
