,date,high,low,mean
0,2020,4.17,3.23,3.67
1,2019,5.55,3.86,4.33
2,2018,5.3,3.41,4.31
3,2017,6.68,4.92,5.62
4,2016,15.35,6.35,8.58
5,2015,27.95,8.55,14.31
6,2014,12.79,5.39,7.44
7,2013,7.86,4.59,5.76
8,2012,6.24,4.17,5.05
9,2011,8.57,4.93,6.76
10,2010,14.3,6.98,9.75
