,date,high,low,mean
0,2020,5.41,4.41,4.69
1,2019,6.22,4.84,5.36
2,2018,7.72,4.99,6.53
3,2017,6.4,5.4,5.97
4,2016,5.73,4.15,4.84
5,2015,9.27,4.37,5.98
6,2014,6.78,4.3,5.29
7,2013,7.73,4.06,5.53
8,2012,7.93,5.75,6.67
9,2011,9.47,6.8,7.87
10,2010,14.22,7.67,9.28
