,date,high,low,mean
0,2020,7.14,5.18,5.93
1,2019,8.3,5.98,6.91
2,2018,10.42,5.29,6.87
3,2017,9.0,6.97,7.79
4,2016,16.31,8.53,10.77
5,2015,42.98,11.69,20.17
6,2014,13.51,5.75,8.97
7,2013,7.43,4.71,5.84
8,2012,11.32,4.27,6.35
9,2011,9.5,4.42,6.46
10,2010,11.09,7.0,8.8
