,date,high,low,mean
0,2020,6.41,5.46,5.82
1,2019,6.92,5.61,6.18
2,2018,9.47,5.55,7.05
3,2017,9.44,7.58,8.45
4,2016,9.99,8.1,9.08
5,2015,11.31,7.14,9.33
6,2014,11.54,5.91,7.32
7,2013,11.91,7.5,9.28
8,2012,7.88,5.39,6.34
9,2011,6.33,4.92,5.7
10,2010,8.21,4.95,6.12
