,date,high,low,mean
0,2020,30.5,15.68,23.45
1,2019,23.76,7.23,17.14
2,2018,8.62,5.59,6.9
3,2017,8.49,7.32,7.86
4,2016,18.24,7.94,10.78
5,2015,26.34,13.77,19.11
6,2014,16.25,10.82,12.87
7,2013,15.57,8.81,12.0
8,2012,18.65,9.69,14.65
9,2011,22.9,15.55,19.23
10,2010,24.39,7.78,13.76
