,date,high,low,mean
0,2020,4.62,3.67,4.02
1,2019,5.95,3.58,4.36
2,2018,6.66,3.54,4.52
3,2017,7.78,4.66,5.8
4,2016,12.32,6.61,8.36
5,2015,27.17,9.1,14.44
6,2014,14.71,7.93,9.94
7,2013,12.58,7.5,9.79
8,2012,12.8,8.49,10.52
9,2011,16.49,9.53,13.06
10,2010,16.93,9.35,13.2
