,date,high,low,mean
0,2020,25.39,17.46,21.78
1,2019,30.3,22.49,25.18
2,2018,37.66,24.13,31.52
3,2017,34.23,23.57,29.15
4,2016,26.55,17.6,21.46
5,2015,29.18,14.0,21.42
6,2014,24.3,12.22,16.2
7,2013,19.0,11.83,14.58
8,2012,17.77,11.17,14.45
9,2011,20.25,12.49,16.52
10,2010,27.11,11.82,17.56
