,date,high,low,mean
0,2020,3.71,2.91,3.32
1,2019,4.17,3.01,3.58
2,2018,4.08,2.79,3.32
3,2017,5.28,3.5,4.17
4,2016,7.08,3.67,4.58
5,2015,14.8,6.7,9.52
6,2014,9.49,4.15,5.7
7,2013,9.18,5.36,7.1
8,2012,19.29,6.11,8.65
9,2011,19.99,7.94,13.45
10,2010,18.6,9.09,13.0
