,date,high,low,mean
0,2020,7.75,6.05,6.65
1,2019,9.85,6.72,7.87
2,2018,11.11,5.91,7.98
3,2017,12.7,7.8,9.78
4,2016,10.24,5.46,7.88
5,2015,17.28,6.5,10.68
6,2014,14.88,4.6,6.4
7,2013,5.87,3.35,4.61
8,2012,6.92,3.65,4.58
9,2011,9.37,3.76,6.5
10,2010,16.27,7.48,11.06
