,date,high,low,mean
0,2020,3.88,2.82,3.25
1,2019,5.18,3.32,3.87
2,2018,6.18,3.38,4.14
3,2017,8.47,5.42,6.67
4,2016,9.09,6.3,7.11
5,2015,28.49,6.29,11.8
6,2014,15.58,7.14,9.25
7,2013,9.48,5.41,7.38
8,2012,12.5,5.3,7.69
9,2011,15.09,8.01,12.83
10,2010,12.65,7.31,10.08
