,date,high,low,mean
0,2020,6.72,5.37,6.07
1,2019,8.44,5.35,6.39
2,2018,9.28,5.38,6.83
3,2017,7.78,5.76,6.73
4,2016,8.41,6.34,7.36
5,2015,13.26,6.6,8.91
6,2014,8.28,6.18,6.88
7,2013,8.28,5.28,6.35
8,2012,16.52,4.86,9.67
9,2011,20.68,13.04,17.03
10,2010,23.88,17.26,20.73
