,date,high,low,mean
0,2020,4.25,3.44,3.69
1,2019,4.65,3.56,4.09
2,2018,4.88,3.42,4.13
3,2017,5.5,4.44,4.86
4,2016,6.17,4.01,4.61
5,2015,14.79,5.01,7.58
6,2014,8.07,3.9,5.54
7,2013,7.74,4.41,6.01
8,2012,9.98,4.25,6.54
9,2011,10.97,4.6,7.6
10,2010,11.88,7.02,9.32
