,date,high,low,mean
0,2020,3.72,3.0,3.33
1,2019,4.99,3.46,3.92
2,2018,4.88,3.38,4.04
3,2017,5.36,3.67,4.64
4,2016,6.82,4.83,5.16
5,2015,11.66,5.14,7.52
6,2014,7.38,2.81,3.82
7,2013,4.81,2.81,3.54
8,2012,4.66,2.96,3.52
9,2011,4.33,2.69,3.29
10,2010,5.38,3.21,4.21
