,date,high,low,mean
0,2020,5.48,3.83,4.35
1,2019,8.72,4.07,5.61
2,2018,6.6,3.02,4.15
3,2017,6.78,4.51,5.51
4,2016,9.91,5.73,6.32
5,2015,22.41,5.62,9.83
6,2014,9.08,4.51,5.62
7,2013,6.3,3.57,4.67
8,2012,5.97,3.49,4.6
9,2011,7.39,4.5,5.92
10,2010,11.18,6.15,7.91
