,date,high,low,mean
0,2020,12.04,8.29,10.35
1,2019,10.77,6.27,7.96
2,2018,13.44,5.55,8.92
3,2017,16.56,12.28,14.42
4,2016,17.26,13.37,15.27
5,2015,27.01,11.35,18.48
6,2014,18.3,8.6,12.66
7,2013,13.19,6.2,10.05
8,2012,6.65,3.72,5.07
9,2011,10.59,3.34,7.18
10,2010,14.83,8.26,11.03
